HOME


The Paramony
An internet version of Biblical References for The Urantia Book
by Duane Faw

Key to Column Headings

1  Pg.Ppg — Refers to page numbering in Urantia Foundation editions of The Urantia Book. Paragraphs are numbered with the first full paragraph from the top of the page and are numbered sequentially down the page.
2  P:S.p — Refers to Paper number, section number within the paper, and the paragraph number within the section. The P:S.p links to the referenced paragraph of the Standardized version of The Urantia Book.
3  Key Words — The words or concepts which, in the mind of the author, connect the Bible and The Urantia Book.
4  Bible Notation — Bible book, such as 1 Corinthians, chapter, and verse numbers. The Bible notation links to the referenced book, chapter and verse of the King James translation of the Bible.
5  Class — Categorizations for references in which:
S = "Same" — Both books recite the same incident.
R = "Refer" — One book quotes from, or refers to an incident contained in, the other.
C = "Compare" — One book relates matter which, although not the same as the other, is significant to reinforce, modify or contradict the other.
1 Pg.Ppg	2 P:S.p	3 Key Words	4 Bible Book Ch:Vs	5 Class
596:38	52:5.7	Come in glory with angels	Matthew 25:31	R
597:20	52:6.1	Wars and rumors of war	Matthew 24:6	R
597:21-22	52:6.1	Think not I come for peace	Matthew 10:34	R
599:46-48	52:7.11	New heaven & new earth	2 Peter 3:13	R
600:07-10	52:7.13	A chosen generation	1 Peter 2:9	R
600:17-21	52:7.15	New earth is righteous	2 Peter 3:13	R
590:29	52:1.6	Archangel's seal for resurrection	Revelation 7:2	C
599:46-48	52:7.11	New heaven & new earth	Revelation 21:1	R
601:21-22	53:1.1	You were perfect until	Ezekiel 28:15	R
601:23-24	53:1.1	Holy mountains of God+	Ezekiel 28:14	R
601:23-24	53:1.1	Holy mountains of God+	Isaiah 11:9	R
601:31-32	53:1.2	The judge rebuke you	Jude 1:9	R
601:36-37	53:1.3	Lucifer proud of beauty	Ezekiel 28:17	R
601:38-40	53:1.3	How fallen from heaven	Isaiah 14:12	R
602:01-02	53:1.4	Satan+	Job 1:6	C
602:01-02	53:1.4	Satan+	Job 2:1	C
602:01-02	53:1.4	Satan+	Zechariah 3:1	C
602:01-02	53:1.4	Satan+	Matthew 4:10	C
602:01-02	53:1.4	Satan+	Luke 10:18	C
602:05-06	53:1.4	The devil+	Acts of the Apostles 10:38	C
602:05-06	53:1.4	The devil+	Matthew 4:1	C
602:05-06	53:1.4	The devil+	Matthew 13:39	C
602:05-06	53:1.4	The devil+	Matthew 25:41	C
602:05-06	53:1.4	The devil+	Luke 4:2	C
602:05-06	53:1.4	The devil+	Luke 8:12	C
602:05-06	53:1.4	The devil+	Jude 1:9	C
602:05-06	53:1.4	The devil+	Revelation 12:9	C
602:05-06	53:1.4	The devil+	Revelation 20:2	C
602:05-06	53:1.4	Devil, former Prince of this world	John 12:31	C
602:05-06	53:1.4	Devil, former Prince of this world	John 14:30	C
602:05-06	53:1.4	Devil, former Prince of this world	John 16:11	C
602:05-06	53:1.4	Devil, former Prince of this world	Ephesians 2:2	C
602:05-06	53:1.4	Devil, former Prince of this world	Ephesians 6:12	C
602:09	53:1.5	Abaddon: chief of rebel staff	Revelation 9:11	C
602:11	53:1.5	Beelzebub: disloyal midwayer	Matthew 12:24	C
602:11	53:1.5	Beelzebub: disloyal midwayer	Mark 3:22	C
602:11	53:1.5	Beelzebub: disloyal midwayer	Luke 11:15	C
602:14-15	53:1.6	Gabriel bound rebel heads	Revelation 20:1	R
602:16-18	53:1.6	Angels left former estate	Jude 1:6	R
602:29	53:2.2	Self assertion & liberty	Isaiah 14:12	R
603:04-07	53:2.5	Pride and delusion	Ezekiel 28:17	C
603:17	53:3.0	Lucifer Manifesto	Jude 1:4	C
603:17	53:3.0	Lucifer Manifesto	Isaiah 14:12	C
604:24	53:4.0	Rebellion	Revelation 12:7	C
605:34	53:5.2	All power in heaven & earth	Matthew 28:18	R
606:07-09	53:5.6	War in heaven	Revelation 12:7	R
608:18-19	53:7.7	A third part of the stars	Revelation 12:3	R
608:44-45	53:7.12	After two years war in heaven	Revelation 12:7	R
608:48-50	53:7.12	No Jerusem citizen lost	Revelation 12:8	R
609:11	53:7.13	Their place found no more	Revelation 12:8	R
609:20-23	53:7.15	Lucifer loses	Revelation 12:7	C
609:28-29	53:8.2	When Sons of God gathered	Job 1:6	R
609:28-29	53:8.2	Satan came also	Job 2:1	R
609:35-36	53:8.3	End of rebellion	Mark 1:13	C
609:35-36	53:8.3	End of rebellion	Matthew 4:1	C
609:38-39	53:8.3	I saw Satan fall as lightning	Luke 10:18	R
609:44-45	53:8.4	Get thee behind me Satan	Matthew 16:23	R
609:44-45	53:8.4	Get thee behind me Satan	Matthew 4:10	R
609:44-45	53:8.4	Get thee behind me Satan	Luke 4:8	R
609:44-45	53:8.4	Get thee behind me Satan	Mark 8:33	R
610:05-06	53:8.5	Now is judgment: cast down	John 12:31	R
610:07-08	53:8.5	Prince of world is judged	John 16:11	R
610:08	53:8.5	Prince of this world	John 12:31	C
610:08	53:8.5	Prince of this world	John 14:30	C
610:08	53:8.5	Prince of this world	John 16:11	C
610:08	53:8.5	Prince of this world	Ephesians 2:2	C
610:08	53:8.5	Prince of this world	Ephesians 6:12	C
610:09	53:8.5	God of Urantia	2 Corinthians 4:4	R
610:24-25	53:8.8	Faith: armor against sin	Ephesians 6:16	C
610:25-26	53:8.8	Born of God, keep selves	1 John 5:18	R
610:34-47	53:9.1	Present status of rebellion	1 Peter 3:19	C
611:03-07	53:9.2	Status of Lucifer	Revelation 12:7	C
611:10	53:9.2	Spiritual hosts of wickedness	Ephesians 6:12	R
611:11-19	53:9.3	Status of rebels	Revelation 12:9	C
611:11-19	53:9.3	Status of rebels	Revelation 20:1	C
611:30-33	53:9.5	Status of rebels	Revelation 12:9	C
611:34-35	53:9.6	Status of rebels	Ezekiel 28:16	C
611:42	53:9.7	Place not found	Revelation 12:8	C
611:43-44	53:9.7	Acquaintances astonished	Ezekiel 28:19	R
611:45	53:9.7	Become as if had not been	Obadiah 1:16	R
611:49	53:9.8	Way of aggressor is hard	Proverbs 13:15	R
612:01-02	53:9.8	Wages of sin is death	Romans 6:23	R
612:01-02	53:9.8	Wages of sin is death	Genesis 2:17	R
619:03-10	54:6.3	Social impact of deeds	1 Corinthians 10:17	C
619:03-10	54:6.3	Social impact of deeds	1 Corinthians 12:12	C
619:03-10	54:6.3	Social impact of deeds	Ephesians 4:25	C
613:18	54:1.0	True & false liberty	Galatians 5:13	C
616:37-41	54:4.7	All things work for good	Hebrews 12:5	C
613:18	54:1.0	True & false liberty	James 1:25	C
616:32-34	54:4.6	God is love	1 John 4:8	C
613:18	54:1.0	True & false liberty	John 8:32	C
616:05-06	54:4.2	Prodigal son	Luke 15:11	C
613:18	54:1.0	True & false liberty	1 Peter 2:15	C
616:37-41	54:4.7	All things work for good	Revelation 3:19	C
616:37-41	54:4.7	All things work for good	Romans 8:28	C
619:03-10	54:6.3	Social impact of deeds	Romans 12:5	C
630:26-27	55:6.1	Peaceful Society	Baruch 3:14	C
631:10-11	55:6.4	Old things are becoming new	2 Corinthians 5:17	R
623:02-05	55:2.1	Translation to morontia status	Genesis 5:24	C
623:02-05	55:2.1	Translation to morontia status	Hebrews 11:5	C
622:05	55:1.1	Holy temple built on earth	Isaiah 65:17	R
631:10-11	55:6.4	Old things are becoming new	Isaiah 65:17	R
623:02-05	55:2.1	Translation to morontia status	2 Kings 2:1	C
622:05	55:1.1	Holy temple built on earth	Revelation 21:1	R
622:05	55:1.1	Holy temple built on earth	Revelation 3:12	R
622:19-20	55:1.3	Coming down from heaven	Revelation 21:2	R
622:19-20	55:1.3	Coming down from heaven	Revelation 3:12	R
631:10-11	55:6.4	Old things are becoming new	Revelation 21:1	R
638:18	56:1.5	Duality of reality	Acts of the Apostles 17:28	C
640:33-35	56:5.1	Trinity	Acts of the Apostles 2:32	C
646:04-05	56:9.14	God is all and in all things	Acts of the Apostles 17:28	C
640:19-21	56:4.4	God is one+	1 Chronicles 17:20	C
638:19	56:1.5	In him all things consist	Colossians 1:17	R
646:04-05	56:9.14	God is all and in all things	Colossians 1:17	C
646:04-05	56:9.14	God is all and in all things	Colossians 3:11	C
637:08-09	56:0.1	Be you perfect, as I am	2 Corinthians 13:11	R
640:19-21	56:4.4	God is one+	1 Corinthians 8:4	C
640:33-35	56:5.1	Trinity (Paul's early view)	1 Corinthians 12:4	C
640:33-35	56:5.1	Trinity	2 Corinthians 13:14	C
646:04-05	56:9.14	God is all and in all things	1 Corinthians 8:6	C
646:04-05	56:9.14	God is all and in all things	1 Corinthians 12:6	C
646:04-05	56:9.14	God is all and in all things	1 Corinthians 15:28	C
637:08-09	56:0.1	Be you perfect, as I am	Deuteronomy 18:13	R
640:19-21	56:4.4	God is one+	Deuteronomy 4:35	C
640:19-21	56:4.4	God is one+	Deuteronomy 6:4	C
640:19-21	56:4.4	God is one+	Ephesians 4:6	C
646:04-05	56:9.14	God is all and in all things	Ephesians 1:23	C
646:04-05	56:9.14	God is all and in all things	Ephesians 4:6	C
640:19-21	56:4.4	God is one+	Galatians 3:20	C
637:08-09	56:0.1	Be you perfect, as I am	Genesis 17:1	R
646:04-05	56:9.14	God is all and in all things	Hebrews 2:10	C
640:19-21	56:4.4	God is one+	Isaiah 44:6	C
640:19-21	56:4.4	God is one+	Isaiah 45:5	C
640:19-21	56:4.4	God is one+	Isaiah 37:16	C
637:08-09	56:0.1	Be you perfect, as I am	James 1:4	R
640:19-21	56:4.4	God is one+	James 2:19	C
640:33-35	56:5.1	Trinity	1 John 5:7	C
648:23	56:10.20	God is love	1 John 4:8	C
638:18	56:1.5	Duality of reality	John 3:6	C
639:12-19	56:3.3	God is spirit	John 4:24	C
640:19-21	56:4.4	God is one+	John 17:3	C
644:08-09	56:8.4	Son imitates father+	John 5:19	R
644:08-09	56:8.4	Son imitates father+	John 8:38	R
637:08-09	56:0.1	Be you perfect, as I am	1 Kings 8:61	R
640:19-21	56:4.4	God is one+	2 Kings 19:19	C
637:08-09	56:0.1	Be you perfect, as I am	Leviticus 19:2	R
647:31-32	56:10.14	If be greatest, become server	Luke 22:26	R
640:19-21	56:4.4	God is one+	Mark 12:29	C
647:31-32	56:10.14	If be greatest, become server	Mark 10:43	R
647:31-32	56:10.14	If be greatest, become server	Mark 9:35	R
637:08-09	56:0.1	Be you perfect, as I am	Matthew 5:48	R
640:33-35	56:5.1	Trinity	Matthew 28:19	C
647:31-32	56:10.14	If be greatest, become server	Matthew 20:26	R
647:31-32	56:10.14	If be greatest, become server	Matthew 23:11	R
640:19-21	56:4.4	God is one+	Nehemiah 9:6	C
637:08-09	56:0.1	Be you perfect, as I am	1 Peter 1:16	R
640:19-21	56:4.4	God is one+	Psalms 86:10	C
640:19-21	56:4.4	God is one+	Romans 3:30	C
646:04-05	56:9.14	God is all and in all things	Romans 11:36	C
647:29-30	56:10.14	No man lives by himself	Romans 14:7	R
640:19-21	56:4.4	God is one+	1 Samuel 2:2	C
640:19-21	56:4.4	God is one+	2 Samuel 7:22	C
640:19-21	56:4.4	God is one+	Sirach 36:5	C
640:19-21	56:4.4	God is one+	1 Timothy 2:5	C
654:01-03	57:3.8	Michael's creation+	Colossians 1:16	C
654:01-03	57:3.8	Michael's creation+	Ephesians 3:9	C
654:01-03	57:3.8	Michael's creation+	Ephesians 2:10	C
655:28	57:5.0	Solar system	Genesis 1:3	C
659:41-44	57:7.7	Water	Genesis 1:6	C
659:41-44	57:7.7	Water	Genesis 2:6	C
660:13-15	57:8.0	Crustal stabilization	Genesis 1:9	C
654:01-03	57:3.8	Michael's creation+	Hebrews 1:2	C
654:01-03	57:3.8	Michael's creation+	Isaiah 45:12	C
654:01-03	57:3.8	Michael's creation+	John 1:1	C
654:01-03	57:3.8	Michael's creation+	Psalms 33:6	C
654:01-03	57:3.8	Michael's creation+	Psalms 102:25	C
654:01-03	57:3.8	Michael's creation+	Revelation 4:11	C
667:33	58:4.0	Life-dawn era	Genesis 1:11	C
667:40-43	58:4.2	Life began in water	Genesis 1:20	C
669:15	58:6.0	Flora to Fauna	Genesis 1:9	C
679:10-11	59:4.9	Vertebrates: fish	Genesis 1:21	C
686:21-25	60:1.9	Reptiles	Genesis 1:24	C
691:24-30	60:3.22	Birds	Genesis 1:20	C
700:12	61:6.1	Early man	Genesis 1:26	C
700:12	61:6.1	Early man	Genesis 2:7	C
707:42-43	62:5.1	First human beings	Genesis 1:26	C
707:42-43	62:5.1	First human beings	Genesis 2:7	C
716:23-24	63:6.4	Blood Sacrifice	Exodus 20:24	C
716:01-02	63:6.1	Breath giver	Genesis 2:7	R
716:24-25	63:6.4	Atonement doctrine	Hebrews 9:22	C
716:01-02	63:6.1	Breath giver	Isaiah 42:5	R
716:23-24	63:6.4	Blood Sacrifice	Leviticus 17:11	C
723:30	64:6.7	Great Spirit	John 4:24	R
724:31	64:6.15	One truth	John 14:6	R
725:39	64:6.26	God of Gods	1 Timothy 6:15	R
741:13	66:1.0	Prince Caligastia	John 12:31	C
741:13	66:1.0	Prince Caligastia	John 14:30	C
741:13	66:1.0	Prince Caligastia	John 16:11	C
741:13	66:1.0	Prince Caligastia	Ephesians 2:2	C
741:13	66:1.0	Prince Caligastia	Ephesians 6:12	C
750:38-39	66:7.4	Love of grandchildren	Proverbs 17:6	C
751:19	66:7.9	Serve only Father God	Exodus 20:3	C
751:19	66:7.9	Serve only Father God	Deuteronomy 5:7	C
751:20-21	66:7.10	Respect/obey deities	Exodus 20:6	C
751:20-21	66:7.10	Respect/obey deities	Deuteronomy 5:11	C
751:22	66:7.11	Don't lie to judges	Exodus 20:16	C
751:22	66:7.11	Don't lie to judges	Deuteronomy 5:20	C
751:23	66:7.12	Don't kill people	Exodus 20:13	C
751:23	66:7.12	Don't kill people	Deuteronomy 5:17	C
751:24	66:7.13	Don't steal	Exodus 20:15	C
751:24	66:7.13	Don't steal	Deuteronomy 5:19	C
751:25	66:7.14	Don't touch friend's wife	Exodus 20:17	C
751:25	66:7.14	Don't touch friend's wife	Deuteronomy 5:21	C
751:26-27	66:7.15	Respect parents/elders	Exodus 20:12	C
751:26-27	66:7.15	Respect parents / elders	Deuteronomy 5:16	C
751:47	66:7.19	In the sweat of your face	Genesis 3:19	R
754:15-16	67:1.1	Satan, a brilliant creature	2 Corinthians 11:14	R
754:22-24	67:1.2	Is like Lucifer, a falsifier	John 8:44	R
755:37-38	67:2.4	God of this world	2 Corinthians 4:4	R
756:11	67:3.1	War in heaven	Revelation 12:7	R
758:05	67:4.2	The land of Nod	Genesis 4:16	R
769:32-33	68:6.1	Dust you are, to dust return	Ecclesiastes 3:20	R
769:32-33	68:6.1	Dust you are, to dust return	Ecclesiastes 12:7	R
763:29-30	68:1.2	Mark of Cain	Genesis 4:14	C
769:32-33	68:6.1	Dust you are, to dust return	Genesis 3:19	R
769:32-33	68:6.1	Dust you are, to dust return	Genesis 2:7	R
766:47	68:3.5	Prince of Peace	Isaiah 9:6	C
766:32-33	68:3.3	Fear of God begins wisdom	Job 28:28	R
766:32-33	68:3.3	Fear of God begins wisdom	Proverbs 9:10	R
766:32-33	68:3.3	Fear of God begins wisdom	Proverbs 1:7	R
766:32-33	68:3.3	Fear of God begins wisdom	Psalms 111:10	R
773:32-33	69:2.5	If not work, not eat	Genesis 3:19	R
773:32-33	69:2.5	If not work, not eat	2 Thessalonians 3:10	R
773:32-33	69:2.5	If not work, not eat	Proverbs 20:4	R
775:19	69:4.4	Cities of refuge	Numbers 35:6	R
775:19	69:4.4	Cities of refuge	1 Chronicles 6:57	R
775:19	69:4.4	Cities of refuge	Joshua 20:2	R
775:19	69:4.4	Cities of refuge	Joshua 21:13	R
775:19	69:4.4	Cities of refuge	Joshua 21:32	R
777:36-37	69:6.4	Fire fetish+	Exodus 13:21	C
777:44-46	69:6.5	Sacred fire+	2 Maccabees 1:18	C
777:44-46	69:6.5	Sacred fire+	Leviticus 6:12	C
778:01-02	69:6.6	Fire from Gods+	Genesis 19:24	C
778:01-02	69:6.6	Fire from Gods+	Leviticus 10:1	C
778:01-02	69:6.6	Fire from Gods+	Leviticus 9:24	C
778:01-02	69:6.6	Fire from Gods+	1 Kings 18:38	C
778:03-04	69:6.6	Passing through fire+	2 Kings 16:3	R
779:08-10	69:8.3	Ambush of Ai	Joshua 8:1	C
779:10-11	69:8.3	Raid upon Og	Deuteronomy 3:1	C
779:11-12	69:8.3	Hebrews "utterly destroy"	Joshua 2:10	C
779:11-12	69:8.3	Hebrews "utterly destroy"	Deuteronomy 12:2	C
779:11-12	69:8.3	Hebrews "utterly destroy"	Deuteronomy 20:17	C
779:11-12	69:8.3	Hebrews "utterly destroy"	Jeremiah 50:21	C
779:11-12	69:8.3	Hebrews "utterly destroy"	Judges 21:11	C
779:11-12	69:8.3	Hebrews "utterly destroy"	Numbers 21:2	C
779:11-12	69:8.3	Hebrews "utterly destroy"	1 Samuel 15:3	C
779:12-13	69:8.3	Destroy all males	Numbers 31:7	C
779:18-19	69:8.4	Capture females	Numbers 31:9	C
779:18-19	69:8.4	Capture females	Deuteronomy 20:14	C
779:19-20	69:8.4	Rules for captured wives	Deuteronomy 21:10	C
781:34-35	69:9.11	Wells & adjacent land	Genesis 21:25	C
781:34-35	69:9.11	Wells & adjacent land	Genesis 26:19	C
781:46-47	69:9.13	Respect for landmarks	Deuteronomy 19:14	C
781:46-47	69:9.13	Respect for landmarks	Proverbs 22:28	C
781:46-47	69:9.13	Respect for landmarks	Proverbs 23:10	C
781:47	69:9.13	Curses if destroys landmark	Deuteronomy 27:17	R
784:35	70:1.15	God of battles+	Psalms 24:8	R
784:35	70:1.15	God of battles+	Deuteronomy 7:21	R
784:35	70:1.15	God of battles+	Deuteronomy 20:1	R
784:35	70:1.15	God of battles+	1 Samuel 17:47	R
784:35	70:1.15	God of battles+	1 Chronicles 14:15	R
784:35	70:1.15	God of battles+	2 Chronicles 20:15	R
784:35	70:1.15	God of battles+	2 Chronicles 32:8	R
784:36-40	70:1.15	Barbarian raids	Numbers 31:3	C
784:37-39	70:1.15	Sparing virgins	Judges 21:10	C
784:40-41	70:1.15	In name of Lord God of Israel+	Numbers 31:1	R
784:40-41	70:1.15	In name of Lord God of Israel+	Deuteronomy 7:16	R
784:40-41	70:1.15	In name of Lord God of Israel+	Deuteronomy 20:1	R
784:40-41	70:1.15	In name of Lord God of Israel+	Judges 11:21	R
784:40-41	70:1.15	In name of Lord God of Israel+	1 Samuel 15:2	R
785:01-02	70:1.17	Slaughter	Judges 4:16	R
785:04-05	70:1.18	Foreskins dowry	1 Samuel 18:25	C
785:08-10	70:1.19	Champions	1 Samuel 17:1	C
786:09	70:2.4	God is love	1 John 4:8	C
787:38-39	70:3.8	Stranger treated as local	Leviticus 19:34	R
788:43	70:5.2	Council of elders+	Genesis 50:7	C
788:43	70:5.2	Council of elders+	Exodus 3:16	C
789:40-41	70:6.2	Father of his people+	Genesis 19:37	R
789:40-41	70:6.2	Father of his people+	Genesis 36:9	R
789:40-41	70:6.2	Father of his people+	Numbers 3:24	R
791:45	70:7.11	New birth societies	John 3:3	R
791:45	70:7.11	New birth societies	1 Peter 1:23	R
795:16-25	70:10.6	Fidelity test	Numbers 5:12	C
795:36-37	70:10.9	Eye for eye	Leviticus 24:20	C
795:36-37	70:10.9	Eye for eye	Exodus 21:23	C
795:36-37	70:10.9	Eye for eye	Deuteronomy 19:21	C
795:36-37	70:10.9	Eye for eye	Matthew 5:38	C
795:37	70:10.9	Life for life	Exodus 21:23	C
795:37-38	70:10.9	Blood vengeance	Deuteronomy 19:6	C
795:37-38	70:10.9	Blood vengeance	Joshua 20:3	C
795:40	70:10.9	Vengeance is God's+	Deuteronomy 32:35	R
795:40	70:10.9	Vengeance is God's+	Psalms 94:1	R
795:40	70:10.9	Vengeance is God's+	Isaiah 35:4	R
795:40	70:10.9	Vengeance is God's+	Nahum 1:2	R
796:13-15	70:10.12	money damages	Exodus 21:28	C
796:16-17	70:10.12	Take no ransom for murderer	Numbers 35:31	R
796:25-26	70:10.14	Burn adultress with fire	Genesis 38:24	R
796:25-26	70:10.14	Burn adultress with fire	Leviticus 21:9	R
796:45	70:11.2	You shall not kill	Exodus 20:13	R
796:45	70:11.2	You shall not kill	Deuteronomy 5:17	R
797:26	70:11.6	It is the custom	Judges 11:39	R
797:26	70:11.6	It is the custom	Jeremiah 32:11	R
795:40	70:10.9	Vengeance is God's+	Romans 12:19	R
795:40	70:10.9	Vengeance is God's+	Hebrews 10:30	R
822:20	73:1.6	Mighty men of old	Genesis 6:4	R
823:19-20	73:3.3	Mist would go up	Genesis 2:6	R
823:26	73:3.4	Heads of rivers from Eden	Genesis 2:10	R
824:34	73:5.1	East of Eden	Genesis 2:8	R
824:34	73:5.1	East of Eden	Genesis 3:24	R
825:31-32	73:6.1	Tree of life	Genesis 2:9	C
825:31-32	73:6.1	Tree of life	Genesis 3:22	C
825:31-32	73:6.1	Tree of life	Revelation 2:7	C
825:31-32	73:6.1	Tree of life	Revelation 22:2	C
825:32	73:6.1	Leaves for healing of nations	Revelation 22:2	R
825:39	73:6.3	Tree of knowledge of good	Genesis 2:9	R
825:40-41	73:6.3	Tree of life	Genesis 2:9	R
825:40-41	73:6.3	Tree of life	Genesis 3:22	R
825:40-41	73:6.3	Tree of life	Revelation 2:7	R
825:40-41	73:6.3	Tree of life	Revelation 22:2	R
826:24-25	73:6.5	Eat fruit, become as gods	Genesis 3:1	R
827:21	73:7.5	Voice in the Garden	Genesis 3:8	R
828:08-10	74:0.1	Creation of mankind	Genesis 5:1	C
828:08-10	74:0.1	Creation of mankind	Genesis 1:26	C
828:08-10	74:0.1	Creation of mankind	Genesis 2:7	C
828:08-10	74:0.1	Creation of mankind	Genesis 6:7	C
828:08-10	74:0.1	Creation of mankind	Deuteronomy 4:32	C
828:08-10	74:0.1	Creation of mankind	Isaiah 45:12	C
828:08-10	74:0.1	Creation of mankind	Malachi 2:10	C
831:24-33	74:3.8	Animal inspection	Genesis 2:19	C
831:38	74:3.9	Day of rest	Genesis 2:2	C
831:39	74:3.9	East of Eden	Genesis 2:8	R
831:39	74:3.9	East of Eden	Genesis 3:23	R
832:45	74:4.6	Sabbath day tradition	Genesis 2:3	C
832:45	74:4.6	Sabbath day tradition	Exodus 20:8	C
832:45	74:4.6	Sabbath day tradition	Deuteronomy 5:12	C
835:23	74:7.1	East of Eden	Genesis 2:8	R
835:23	74:7.1	East of Eden	Genesis 3:23	R
836:16-17	74:7.6	Sheds blood, bood is shed	Genesis 9:6	R
836:16-17	74:7.6	Man made in God's image	Genesis 1:26	R
836:20-21	74:7.7	Desire of the soul	Isaiah 26:8	R
836:20-21	74:7.7	Desire of the soul	Psalms 63:1	R
836:20-21	74:7.7	Desire of the soul	Psalms 84:2	R
836:29	74:7.8	Loins of the father+	Genesis 35:11	R
836:29	74:7.8	Loins of the father+	Genesis 46:26	R
836:29	74:7.8	Loins of the father+	Hebrews 7:5	R
836:44-45	74:8.1	Tradition of creation	Genesis 1:1	C
836:44-45	74:8.1	Tradition of creation	Exodus 20:11	C
837:03-04	74:8.1	Sabbath tradition	Genesis 2:2	C
837:03-04	74:8.1	Sabbath tradition	Exodus 20:9	C
837:06-09	74:8.2	Sun & moon	Genesis 1:3	C
837:10-13	74:8.3	Eve from Adam's rib story	Genesis 2:21	C
837:14-18	74:8.4	Adam & Eve's bodies	Genesis 2:7	C
837:14-18	74:8.4	Adam & Eve's bodies	Genesis 3:19	C
837:49	74:8.8	Land of Nod	Genesis 4:16	R
838:07-09	74:8.10	Hebrew lineage	Genesis 4:1	C
838:07-09	74:8.10	Hebrew lineage	Genesis 5:3	C
838:07-09	74:8.10	Hebrew lineage	Genesis 6:9	C
838:07-09	74:8.10	Hebrew lineage	Genesis 10:1	C
838:07-09	74:8.10	Hebrew lineage	Genesis 11:10	C
838:16-18	74:8.11	"Finding" the Law	2 Chronicles 34:13	C
838:44	74:8.15	Voice in Garden	Genesis 3:8	C
841:18-21	75:3.3	Caligastia's plot	Genesis 3:1	C
841:36-38	75:3.6	Caligastia's plot	Genesis 3:1	C
842:24-29	75:4.2	Notice of default	Genesis 3:8	C
842:37-38	75:4.4	Commingle good & evil, die	Genesis 2:17	R
842:39-44	75:4.5	The warning	Genesis 3:1	C
842:45-48	75:4.6	Ends not justify means	Proverbs 14:12	C
843:01	75:4.7	Cano pleasant to Eve's eyes	Genesis 3:6	C
843:02-04	75:4.7	New & increased knowledge	Genesis 3:6	C
843:09-13	75:4.8	Recorded as: "God calling.."	Genesis 3:8	R
844:16-18	75:5.9	Intense & lasting enmity	Genesis 3:15	R
844:28-31	75:6.2	Leaving Eden	Genesis 3:23	C
844:41	75:6.3	The way of the transgressor	Proverbs 13:15	C
845:11-14	75:7.3	Future conduct	Genesis 3:16	C
845:29-35	75:7.6	Death sentence	Genesis 3:22	C
846:11-22	75:8.4	The "sin" of Adam & Eve	Genesis 3:6	C
847:07-09	76:0.1	Eastward journey	Genesis 3:23	C
848:04	76:1.4	Sweat of their faces	Genesis 3:19	R
848:06	76:2.1	Cain's birth	Genesis 4:1	C
848:06-07	76:2.1	Abel's birth	Genesis 4:2	C
848:09-14	76:2.2	Offerings	Genesis 4:3	C
848:33-35	76:2.5	Cain slays Able	Genesis 4:8	C
849:08-09	76:2.8	No Tribal Mark	Genesis 4:13	C
849:12-16	76:2.8	Tribe of Adam mark	Genesis 4:15	C
849:17	76:2.9	Cain flees to Nod	Genesis 4:16	C
849:20-22	76:2.9	Cain begets Enoch	Genesis 4:17	C
849:46-47	76:3.4	Birth of Seth	Genesis 5:3	C
850:03-04	76:3.4	Enos	Genesis 5:6	C
850:04-05	76:3.4	Kenan (Cainan)	Genesis 5:9	C
851:04	76:4.4	Fruits of the trees	Genesis 1:29	R
851:04	76:4.4	Fruits of the trees	Genesis 2:16	R
851:04	76:4.4	Fruits of the trees	Genesis 3:2	R
851:34-41	76:4.8	Racial upstepping	Genesis 6:2	C
852:40	76:5.5	Adam's death	Genesis 5:5	C
856:38-41	77:2.3	God's sons, men's daughters	Genesis 6:4	R
856:38-41	77:2.3	Land of giants	Deuteronomy 2:20	R
856:38-41	77:2.3	Land of giants	Deuteronomy 3:13	R
856:38-41	77:2.3	Land of giants	Joshua 12:4	R
857:19-22	77:2.6	Nodite people	Genesis 4:16	C
857:34-36	77:2.9	Nodite people	Genesis 4:16	C
857:48-49	77:2.11	Length of life+	Genesis 5:5	C
857:48-49	77:2.11	Length of life+	Genesis 5:17	C
857:48-49	77:2.11	Length of life+	Genesis 9:29	C
857:48-49	77:2.11	Length of life+	Genesis 11:10	C
857:48-49	77:2.11	Length of life+	Genesis 5:31	C
858:05	77:2.11	Three score and ten	Psalms 90:10	R
858:11	77:3.0	Tower of Babel	Genesis 11:1	C
859:41	77:4.5	The land of Nod	Genesis 4:16	R
859:43-44	77:4.5	Adamites marry Nodites	Genesis 6:2	C
862:13-14	77:5.9	Mighty men of old	Genesis 6:4	R
863:27	77:7.4	Beelzebub	Matthew 10:25	C
863:27	77:7.4	Beelzebub	Matthew 12:24	C
863:27	77:7.4	Beelzebub	Mark 3:22	C
863:27	77:7.4	Beelzebub	Luke 11:15	C
863:42-46	77:7.6	Brought sick people	Matthew 4:24	R
865:27-28	77:8.12	Angel opens prison doors	Acts of the Apostles 5:19	R
865:28-30	77:8.12	Peter's deliverance	Acts of the Apostles 12:7	C
866:24-26	77:9.5	24 Counselors	Revelation 4:4	C
866:24-26	77:9.5	24 Counselors	Revelation 5:8	C
866:24-26	77:9.5	24 Counselors	Revelation 11:16	C
866:24-26	77:9.5	24 Counselors	Revelation 19:4	C
866:24-26	77:9.5	24 Counselors	Revelation 7:11	C
866:24-26	77:9.5	24 Counselors	Revelation 14:3	C
874:41-43	78:7.3	Genealogy	Genesis 4:1	C
874:41-43	78:7.3	Genealogy	Genesis 5:3	C
874:41-43	78:7.3	Genealogy	Genesis 6:9	C
874:41-43	78:7.3	Genealogy	Genesis 10:1	C
